SALARY_FROM,SALARY_TO,AVERAGE_SALARY,MAX_YEARS_EXPERIENCE
0.0,0.0,0.0,2.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
35000.0,150000.0,92500.0,0.0
94420.0,125890.0,110155.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0
79500.0,106424.0,92962.0,2.0
91559.0,123732.0,107645.5,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
144600.0,241000.0,192800.0,0.0
81286.0,81286.0,81286.0,0.0
0.0,0.0,0.0,5.0
63200.0,188600.0,125900.0,0.0
0.0,0.0,0.0,3.0
160000.0,170000.0,165000.0,8.0
120000.0,220000.0,170000.0,0.0
94420.0,125890.0,110155.0,0.0
115300.0,158600.0,136950.0,0.0
116792.0,120328.0,118560.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
44000.0,114000.0,79000.0,0.0
41600.0,41600.0,41600.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0
126681.0,154832.0,140756.5,0.0
144600.0,241000.0,192800.0,0.0
75026.0,75026.0,75026.0,2.0
63200.0,169800.0,116500.0,0.0
125000.0,208000.0,166500.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
40000.0,45000.0,42500.0,0.0
143557.0,168520.0,156038.5,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
128310.0,171080.0,149695.0,0.0
0.0,0.0,0.0,0.0
75180.0,94176.0,84678.0,0.0
145600.0,176800.0,161200.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
95000.0,125000.0,110000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
86412.0,108156.0,97284.0,0.0
144600.0,241000.0,192800.0,0.0
128310.0,171080.0,149695.0,0.0
138200.0,239000.0,188600.0,0.0
0.0,0.0,0.0,0.0
144600.0,241000.0,192800.0,0.0
145600.0,156000.0,150800.0,0.0
128310.0,171080.0,149695.0,0.0
0.0,0.0,0.0,0.0
144600.0,241000.0,192800.0,0.0
118941.0,143241.0,131091.0,0.0
128310.0,171080.0,149695.0,0.0
0.0,0.0,0.0,0.0
144600.0,241000.0,192800.0,0.0
0.0,0.0,0.0,0.0
128310.0,171080.0,149695.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
156000.0,166400.0,161200.0,0.0
144600.0,241000.0,192800.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
109120.0,163680.0,136400.0,0.0
49920.0,58240.0,54080.0,0.0
0.0,0.0,0.0,0.0
128310.0,171080.0,149695.0,0.0
143860.0,179820.0,161840.0,0.0
47840.0,58240.0,53040.0,0.0
0.0,0.0,0.0,0.0
90000.0,90000.0,90000.0,0.0
60320.0,68640.0,64480.0,0.0
83200.0,97760.0,90480.0,0.0
117600.0,175050.0,146325.0,0.0
100500.0,182700.0,141600.0,0.0
140000.0,160000.0,150000.0,0.0
110000.0,150000.0,130000.0,0.0
110000.0,140000.0,125000.0,0.0
84243.0,122903.0,103573.0,0.0
0.0,0.0,0.0,0.0
93600.0,114400.0,104000.0,0.0
146000.0,234000.0,190000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
63200.0,169800.0,116500.0,0.0
0.0,0.0,0.0,5.0
124800.0,153920.0,139360.0,0.0
63000.0,132000.0,97500.0,5.0
150000.0,207000.0,178500.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
40000.0,40000.0,40000.0,0.0
0.0,0.0,0.0,1.0
120000.0,140000.0,130000.0,0.0
0.0,0.0,0.0,0.0
100000.0,150000.0,125000.0,0.0
60923.0,60923.0,60923.0,1.0
0.0,0.0,0.0,0.0
113400.0,148800.0,131100.0,2.0
0.0,0.0,0.0,0.0
202000.0,235000.0,218500.0,0.0
145600.0,166400.0,156000.0,0.0
0.0,0.0,0.0,0.0
115300.0,158600.0,136950.0,3.0
114000.0,131000.0,122500.0,5.0
115300.0,158600.0,136950.0,3.0
60320.0,62400.0,61360.0,0.0
60000.0,82000.0,71000.0,0.0
0.0,0.0,0.0,0.0
115300.0,158600.0,136950.0,3.0
100000.0,150000.0,125000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0
87360.0,104000.0,95680.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
11228.0,89832.0,50530.0,0.0
135366.0,146598.0,140982.0,0.0
47840.0,56160.0,52000.0,0.0
99923.0,131040.0,115481.5,0.0
141592.0,170630.0,156111.0,0.0
0.0,0.0,0.0,0.0
57920.0,95000.0,76460.0,0.0
70893.0,75096.0,72994.5,0.0
0.0,0.0,0.0,0.0
107910.0,130570.0,119240.0,0.0
0.0,0.0,0.0,9.0
176800.0,176800.0,176800.0,0.0
0.0,0.0,0.0,3.0
49920.0,60320.0,55120.0,2.0
0.0,0.0,0.0,0.0
150000.0,195000.0,172500.0,0.0
46800.0,58552.0,52676.0,0.0
120000.0,160000.0,140000.0,0.0
72800.0,72800.0,72800.0,0.0
59500.0,90000.0,74750.0,0.0
166400.0,176800.0,171600.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
24000.0,24000.0,24000.0,0.0
0.0,0.0,0.0,0.0
62400.0,72800.0,67600.0,0.0
0.0,0.0,0.0,0.0
79040.0,130000.0,104520.0,0.0
0.0,0.0,0.0,0.0
63200.0,169800.0,116500.0,0.0
85000.0,100000.0,92500.0,0.0
0.0,0.0,0.0,8.0
104000.0,104000.0,104000.0,3.0
170000.0,185000.0,177500.0,0.0
77400.0,115050.0,96225.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0
155000.0,289000.0,222000.0,0.0
55000.0,82500.0,68750.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,8.0
24000.0,24000.0,24000.0,0.0
0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
24000.0,24000.0,24000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.0
69383.0,99911.0,84647.0,0.0
60400.0,137000.0,98700.0,0.0
49920.0,49920.0,49920.0,0.0
24000.0,24000.0,24000.0,0.0
207300.0,207300.0,207300.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
66200.0,66200.0,66200.0,0.0
60900.0,85000.0,72950.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
135200.0,135200.0,135200.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
24000.0,24000.0,24000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
135200.0,145600.0,140400.0,0.0
0.0,0.0,0.0,0.0
84000.0,202000.0,143000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0
70000.0,70000.0,70000.0,0.0
0.0,0.0,0.0,0.0
168480.0,174720.0,171600.0,0.0
58000.0,81000.0,69500.0,0.0
0.0,0.0,0.0,0.0
47840.0,47840.0,47840.0,0.0
124238.0,166400.0,145319.0,4.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
83200.0,83200.0,83200.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,3.0
86600.0,119200.0,102900.0,0.0
0.0,0.0,0.0,1.0
78000.0,78000.0,78000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0
60320.0,60320.0,60320.0,0.0
66560.0,75200.0,70880.0,0.0
60000.0,100000.0,80000.0,3.0
145600.0,145600.0,145600.0,0.0
130000.0,182000.0,156000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
145600.0,156000.0,150800.0,0.0
0.0,0.0,0.0,0.0
114400.0,124800.0,119600.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
47112.0,50128.0,48620.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
27300.0,27300.0,27300.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
41600.0,41600.0,41600.0,0.0
60400.0,137000.0,98700.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
83200.0,83200.0,83200.0,0.0
0.0,0.0,0.0,0.0
67898.0,67898.0,67898.0,0.0
66560.0,72800.0,69680.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
66560.0,72800.0,69680.0,0.0
87300.0,87300.0,87300.0,0.0
66560.0,72800.0,69680.0,0.0
75000.0,95000.0,85000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
66560.0,72800.0,69680.0,0.0
39562.0,193253.0,116407.5,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
75000.0,85000.0,80000.0,0.0
136400.0,204600.0,170500.0,0.0
0.0,0.0,0.0,0.0
97875.0,163125.0,130500.0,0.0
46000.0,72000.0,59000.0,0.0
120000.0,135000.0,127500.0,0.0
142000.0,189000.0,165500.0,0.0
97875.0,163125.0,130500.0,0.0
0.0,0.0,0.0,0.0
97875.0,163125.0,130500.0,0.0
97875.0,163125.0,130500.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
125000.0,208000.0,166500.0,0.0
104000.0,114400.0,109200.0,0.0
69230.0,179300.0,124265.0,0.0
35360.0,39520.0,37440.0,0.0
108000.0,158000.0,133000.0,0.0
0.0,0.0,0.0,0.0
88771.0,118361.0,103566.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
63200.0,188600.0,125900.0,0.0
0.0,0.0,0.0,0.0
31200.0,35360.0,33280.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
66200.0,135800.0,101000.0,0.0
97875.0,163125.0,130500.0,0.0
97875.0,163125.0,130500.0,0.0
104000.0,124800.0,114400.0,0.0
0.0,0.0,0.0,0.0
97875.0,163125.0,130500.0,0.0
59100.0,81500.0,70300.0,0.0
128400.0,235400.0,181900.0,5.0
97875.0,163125.0,130500.0,0.0
85238.0,134950.0,110094.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
100000.0,110000.0,105000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
110000.0,240000.0,175000.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
127965.0,232415.0,180190.0,0.0
95000.0,115000.0,105000.0,0.0
0.0,0.0,0.0,0.0
106000.0,155000.0,130500.0,0.0
65000.0,139000.0,102000.0,0.0
