feature,coef,se,t,p,ci_lo,ci_hi,abs_t
Intercept,68743.77500901464,NaN,NaN,NaN,NaN,NaN,NaN
MIN_EDULEVELS_NAME_OHE_Ph.D. or professional degree,-29043.70315924699,1342.4497631939091,-21.63485290514502,0.0,-31674.904695107052,-26412.50162338693,21.63485290514502
EMPLOYMENT_TYPE_NAME_OHE_Full-time (> 32 hours),6258.360295366977,454.49521925360943,13.769914468285743,0.0,5367.549665629903,7149.170925104051,13.769914468285743
EMPLOYMENT_TYPE_NAME_OHE_Part-time (â‰¤ 32 hours),6258.360295366977,454.49521925360943,13.769914468285743,0.0,5367.549665629903,7149.170925104051,13.769914468285743
MIN_EDULEVELS_NAME_OHE_Master's degree,6799.902817703081,884.2407010146808,7.690103848307459,1.4654943925052066E-14,5066.791043714307,8533.014591691855,7.690103848307459
STATE_NAME_OHE_Connecticut,-17663.86497159954,3107.0991000577155,-5.6850021202321575,1.308110375575211E-8,-23753.779207712665,-11573.950735486418,5.6850021202321575
STATE_NAME_OHE_Florida,6324.88962145224,1145.0330526455273,5.523761612679196,3.31817606724627E-8,4080.624838267007,8569.154404637473,5.523761612679196
STATE_NAME_OHE_Illinois,5753.125358216762,1261.333717155438,4.561144509155928,5.087555114524633E-6,3280.911272592103,8225.339443841422,4.561144509155928
STATE_NAME_OHE_Kansas,-6695.74692615243,1513.9528938583474,-4.422691718688915,9.747878385812925E-6,-9663.09459811479,-3728.3992541900693,4.422691718688915
EMPLOYMENT_TYPE_NAME_OHE_Part-time / full-time,-436.9081242915736,100.94333146309963,-4.328251484857003,1.5029779590669534E-5,-634.7570539592489,-239.05919462389832,4.328251484857003
MIN_YEARS_EXPERIENCE,-18109.684129863697,4268.6014640451995,-4.242533364241927,2.210106714262139E-5,-26476.142999392287,-9743.225260335106,4.242533364241927
STATE_NAME_OHE_New York,-5803.566031410265,2265.805349973469,-2.5613700803902772,0.010426022853324168,-10244.544517358265,-1362.5875454622656,2.5613700803902772
STATE_NAME_OHE_Alabama,-9872.902980979015,3979.705360045808,-2.480812544591335,0.01310832889701441,-17673.1254866688,-2072.680475289232,2.480812544591335
STATE_NAME_OHE_Montana,-11072.05254004016,4659.376454843126,-2.376294907128928,0.017487479972304598,-20204.43039153269,-1939.6746885476332,2.376294907128928
STATE_NAME_OHE_Minnesota,-8101.756874638972,3659.233168525277,-2.214058656968311,0.026824744152868396,-15273.853884948516,-929.6598643294283,2.214058656968311
STATE_NAME_OHE_Arizona,-5602.609205125748,2865.2460601445064,-1.955367562687857,0.050539701884692256,-11218.49148300898,13.273072757484442,1.955367562687857
MAX_YEARS_EXPERIENCE,14766.752424825841,7842.595912946956,1.8828908933645474,0.05971515561415819,-604.7355645501921,30138.240414201875,1.8828908933645474
MIN_EDULEVELS_NAME_OHE_Associate degree,1556.2469031492185,872.038869471156,1.7846072665235637,0.07432504193937861,-152.94928101424716,3265.443087312684,1.7846072665235637
MIN_EDULEVELS_NAME_OHE_High school or GED,-9930.591776717225,5701.25180542815,-1.7418265524182477,0.08153879901529759,-21105.0453153564,1243.8617619219494,1.7418265524182477
STATE_NAME_OHE_Arkansas,-6263.415624941469,3667.084593488783,-1.7080095823430663,0.08763456447389784,-13450.901428179484,924.0701782965452,1.7080095823430663
STATE_NAME_OHE_Pennsylvania,-5819.501636977555,3427.3976782236673,-1.6979359220414871,0.08951985646358684,-12537.201086295943,898.1978123408326,1.6979359220414871
STATE_NAME_OHE_Rhode Island,-5599.4587120750075,3390.058311193959,-1.6517293208749881,0.09858974264287057,-12243.973002015167,1045.0555778651524,1.6517293208749881
STATE_NAME_OHE_Michigan,-4349.005564718021,3027.5110132562504,-1.4364953738154802,0.15086143179646427,-10282.92715070027,1584.91602126423,1.4364953738154802
STATE_NAME_OHE_Delaware,-7108.936300793899,5057.751381256516,-1.4055527377519692,0.15985697868948767,-17022.12900805667,2804.2564064688722,1.4055527377519692
STATE_NAME_OHE_North Carolina,3764.4294608945975,2894.8856202916313,1.3003724342364062,0.19347335300882573,-1909.5463548769994,9438.405276666195,1.3003724342364062
STATE_NAME_OHE_Nebraska,-8887.934954745244,7195.64059061026,-1.2351832811582186,0.2167623000638237,-22991.390512341353,5215.5206028508655,1.2351832811582186
STATE_NAME_OHE_Ohio,5200.987480125597,4252.391548243897,1.223073515484114,0.22130193076767535,-3133.699954432441,13535.674914683636,1.223073515484114
STATE_NAME_OHE_Idaho,-4637.536311464332,3844.8003298692197,-1.206183914268983,0.227746584826795,-12173.344958008003,2898.2723350793385,1.206183914268983
MIN_YEARS_EXPERIENCE_SQ,29150.36449360602,24261.12096221298,1.201525870919489,0.22954727717742252,-18401.43259233142,76702.16157954346,1.201525870919489
STATE_NAME_OHE_Alaska,-2824.4743455217554,2378.76000187176,-1.1873725568360318,0.23508069986018532,-7486.843949190405,1837.8952581468943,1.1873725568360318
STATE_NAME_OHE_Indiana,7428.3630102265815,6264.271500193984,1.1858303092381213,0.23568931938466164,-4849.609130153627,19706.335150606792,1.1858303092381213
STATE_NAME_OHE_New Hampshire,-7188.157120425515,6166.750667775188,-1.165631222612544,0.24376357851856367,-19274.988429264882,4898.674188413853,1.165631222612544
STATE_NAME_OHE_Texas,11416.027347054762,9825.099755569549,1.1619248283543753,0.24526600087501227,-7841.168173861552,30673.222867971075,1.1619248283543753
STATE_NAME_OHE_South Carolina,6328.576244859112,5685.172956484468,1.1131721573467317,0.26563449812097195,-4814.362749850445,17471.515239568667,1.1131721573467317
STATE_NAME_OHE_Virginia,1873.6611936261504,1741.899713065629,1.0756424032751173,0.2820872156203691,-1540.4622439824823,5287.784631234783,1.0756424032751173
MIN_EDULEVELS_NAME_OHE_No Education Listed,-10346.399780762466,9695.342328321145,-1.067151569319993,0.2859033980689225,-29349.27074427191,8656.47118274698,1.067151569319993
STATE_NAME_OHE_Missouri,-5783.966775383785,5491.622221145728,-1.053234644056973,0.29223346418235474,-16547.546328829412,4979.612778061842,1.053234644056973
STATE_NAME_OHE_Vermont,-4755.887354848185,4544.36436018712,-1.0465462225067612,0.295308915872762,-13662.841500814939,4151.066791118569,1.0465462225067612
STATE_NAME_OHE_Mississippi,1931.4125197363446,1852.1722085174013,1.0427823670253493,0.2970490997477411,-1698.8450089577618,5561.670048430451,1.0427823670253493
STATE_NAME_OHE_Iowa,-5958.125192478277,6079.776315881904,-0.9799908554060051,0.32709063262078164,-17874.48677160681,5958.236386650255,0.9799908554060051
STATE_NAME_OHE_North Dakota,-6703.730521438684,6964.933483135684,-0.9624974219309553,0.3357997975955884,-20355.000148384624,6947.539105507255,0.9624974219309553
STATE_NAME_OHE_New Jersey,2846.7278320723126,4002.572490377862,0.7112245534380236,0.4769450956093926,-4998.314249068297,10691.769913212922,0.7112245534380236
STATE_NAME_OHE_Washington,-1175.64791403587,1928.6594127740725,-0.6095674053434275,0.5421484087716237,-4955.820363073052,2604.524535001312,0.6095674053434275
STATE_NAME_OHE_Kentucky,-2540.5778505599437,4871.311734055952,-0.521538753678695,0.6019915162072522,-12088.348849309608,7007.193148189722,0.521538753678695
STATE_NAME_OHE_Wyoming,2991.1999920276007,5852.591318940936,0.5110898453386077,0.6092881461572286,-8479.878993096632,14462.278977151835,0.5110898453386077
STATE_NAME_OHE_Georgia,-1818.4033198095146,3653.587072481033,-0.49770356740798727,0.6186929932930514,-8979.433981872338,5342.6273422533095,0.49770356740798727
STATE_NAME_OHE_Tennessee,3474.70176838025,7346.647226447856,0.47296428714738864,0.6362386583989759,-10924.726795457547,17874.130332218047,0.47296428714738864
STATE_NAME_OHE_Hawaii,-3975.5213656650417,10996.685884871496,-0.36151995312826907,0.7177107917348478,-25529.025700013175,17577.982968683093,0.36151995312826907
STATE_NAME_OHE_Colorado,-648.7900221960307,2151.8079341430766,-0.3015092620031634,0.7630261883687499,-4866.333573116461,3568.753528724399,0.3015092620031634
STATE_NAME_OHE_South Dakota,-1838.3094900974047,7339.722437156115,-0.25046035539317824,0.8022313596264217,-16224.16546692339,12547.546486728581,0.25046035539317824
STATE_NAME_OHE_Maryland,-1014.3608602904006,4088.8970083618924,-0.24807689169377667,0.8040749146168495,-9028.59899667971,6999.877276098909,0.24807689169377667
STATE_NAME_OHE_Utah,1196.6697837960091,4929.952744692141,0.24273453433897715,0.8082110528374487,-8466.037595800588,10859.377163392606,0.24273453433897715
STATE_NAME_OHE_Wisconsin,-1520.0386533125627,6904.730319023111,-0.22014453614860652,0.825758590654516,-15053.31007859786,12013.232771972736,0.22014453614860652
STATE_NAME_OHE_California,632.2458006207996,2902.008498015755,0.21786490323963456,0.8275343734420133,-5055.690855490079,6320.182456731679,0.21786490323963456
STATE_NAME_OHE_West Virginia,-1470.2362160840887,7832.2374519751,-0.18771599113269105,0.8510992940020945,-16821.421621955284,13880.949189787107,0.18771599113269105
"STATE_NAME_OHE_Washington, D.C. (District of Columbia)",-474.0980432904021,3085.4414849378127,-0.1536564688083714,0.8778806099167511,-6521.563353768515,5573.36726718771,0.1536564688083714
STATE_NAME_OHE_Massachusetts,-495.9868336461538,3489.721673544525,-0.14212790590327448,0.8869789761992743,-7335.841313793423,6343.867646501115,0.14212790590327448
STATE_NAME_OHE_Oklahoma,602.3475309401506,4706.084384419459,0.1279933553538386,0.898154231450403,-8621.577862521988,9826.27292440229,0.1279933553538386
STATE_NAME_OHE_Louisiana,2025.0414069735557,17093.51981273496,0.11846836866593535,0.9056965567170816,-31478.257425986965,35528.34023993408,0.11846836866593535
STATE_NAME_OHE_Oregon,-268.3712951681689,3408.3914290004427,-0.07873840219310504,0.9372406997529867,-6948.818496009037,6412.075905672698,0.07873840219310504
