feature,coef,se,t,p,ci_lo,ci_hi,abs_t
EMPLOYMENT_TYPE_NAME_OHE_Part-time / full-time,-436.9080972892671,69.3292813946319,-6.301927389126183,2.9396685086169327E-10,-572.7934888227456,-301.0227057557886,6.301927389126183
EMPLOYMENT_TYPE_NAME_OHE_Full-time (> 32 hours),6258.360496747176,2905898.0293275653,0.002153675192172996,0.9982816171435818,-5689301.77698528,5701818.497978775,0.002153675192172996
EMPLOYMENT_TYPE_NAME_OHE_Part-time (â‰¤ 32 hours),6258.359688950314,2905898.029327563,0.0021536749141877237,0.9982816173653815,-5689301.777793073,5701818.4971709745,0.0021536749141877237
MIN_YEARS_EXPERIENCE_SQ,29150.376482729233,1.5582061749502098E7,0.0018707650471004385,0.9985073463226843,-3.0511690652541384E7,3.056999140550684E7,0.0018707650471004385
MIN_EDULEVELS_NAME_OHE_Ph.D. or professional degree,-29043.691507795553,1.5582053274124946E7,-0.001863919407593386,0.9985128083432329,-3.056986810879269E7,3.05117807257771E7,0.001863919407593386
Intercept,68743.68355159911,3.80093837310353E7,0.0018085976883510674,0.9985569486144708,-7.442964842927758E7,7.456713579638077E7,0.0018085976883510674
STATE_NAME_OHE_Connecticut,-17663.860244489424,1.0020132309091674E7,-0.0017628370264594494,0.9985934602818689,-1.9657123186064173E7,1.9621795465575192E7,0.0017628370264594494
MIN_YEARS_EXPERIENCE,-18109.66911516427,1.5582053498943115E7,-0.0011622132549084494,0.9990726881963077,-3.0558934527043667E7,3.052271518881334E7,0.0011622132549084494
STATE_NAME_OHE_Montana,-11072.044985321862,1.002013396778095E7,-0.0011049797358920809,0.9991183539081439,-1.965053462183598E7,1.962839053186534E7,0.0011049797358920809
MIN_EDULEVELS_NAME_OHE_No Education Listed,-10346.395199394145,1.0020134384535242E7,-0.0010325605228770627,0.9991761360470999,-1.964980978888847E7,1.9629116998489678E7,0.0010325605228770627
MIN_EDULEVELS_NAME_OHE_High school or GED,-9930.584453449697,1.0020135761275373E7,-9.910628648194804E-4,0.9992092463708226,-1.964939667655318E7,1.962953550764628E7,9.910628648194804E-4
STATE_NAME_OHE_Alabama,-9872.895277691941,1.002013351335754E7,-9.853057610989594E-4,0.9992138398727533,-1.9649334581458468E7,1.9629588790903088E7,9.853057610989594E-4
MAX_YEARS_EXPERIENCE,14766.767394301196,1.558205356555894E7,9.47677873919021E-4,0.9992438625689659,-3.052605822110122E7,3.055559175588982E7,9.47677873919021E-4
STATE_NAME_OHE_Nebraska,-8887.928397715923,1.002013351242271E7,-8.870069831601438E-4,0.9992922709156169,-1.9648349612746228E7,1.9630573755950797E7,8.870069831601438E-4
